nodeName	altName	nodeAttr[nodesPresent, ]
Tsubulata_005008	NA	turquoise
Tsubulata_005019	NA	turquoise
Tsubulata_005031	NA	turquoise
Tsubulata_005052	NA	magenta
Tsubulata_005085	NA	turquoise
Tsubulata_005086	NA	turquoise
Tsubulata_005087	NA	turquoise
Tsubulata_005097	NA	turquoise
Tsubulata_005159	NA	turquoise
Tsubulata_005160	NA	turquoise
Tsubulata_005283	NA	turquoise
Tsubulata_005300	NA	magenta
Tsubulata_005315	NA	turquoise
Tsubulata_005319	NA	magenta
Tsubulata_005361	NA	turquoise
Tsubulata_005363	NA	turquoise
Tsubulata_005382	NA	turquoise
Tsubulata_005392	NA	turquoise
Tsubulata_005395	NA	turquoise
Tsubulata_005396	NA	turquoise
Tsubulata_005397	NA	turquoise
Tsubulata_005406	NA	turquoise
Tsubulata_005411	NA	turquoise
Tsubulata_005423	NA	turquoise
Tsubulata_005436	NA	turquoise
Tsubulata_005484	NA	turquoise
Tsubulata_005506	NA	turquoise
Tsubulata_005508	NA	turquoise
Tsubulata_005561	NA	turquoise
Tsubulata_005588	NA	turquoise
Tsubulata_005591	NA	turquoise
Tsubulata_005628	NA	turquoise
Tsubulata_005630	NA	turquoise
Tsubulata_005651	NA	turquoise
Tsubulata_005654	NA	turquoise
Tsubulata_005657	NA	magenta
Tsubulata_005662	NA	turquoise
Tsubulata_005663	NA	turquoise
Tsubulata_005664	NA	turquoise
Tsubulata_005696	NA	turquoise
Tsubulata_005713	NA	turquoise
Tsubulata_005716	NA	turquoise
Tsubulata_005733	NA	turquoise
Tsubulata_005736	NA	turquoise
Tsubulata_005737	NA	turquoise
Tsubulata_005739	NA	turquoise
Tsubulata_005741	NA	turquoise
Tsubulata_005757	NA	turquoise
Tsubulata_005758	NA	turquoise
Tsubulata_005759	NA	turquoise
Tsubulata_005777	NA	turquoise
Tsubulata_005797	NA	magenta
Tsubulata_005830	NA	turquoise
Tsubulata_005831	NA	turquoise
Tsubulata_005850	NA	turquoise
Tsubulata_005861	NA	turquoise
Tsubulata_005862	NA	magenta
Tsubulata_005902	NA	turquoise
Tsubulata_005903	NA	turquoise
Tsubulata_005904	NA	turquoise
Tsubulata_005924	NA	turquoise
Tsubulata_005927	NA	turquoise
Tsubulata_005928	NA	turquoise
Tsubulata_005931	NA	turquoise
Tsubulata_005932	NA	turquoise
Tsubulata_005957	NA	turquoise
Tsubulata_005974	NA	turquoise
Tsubulata_005986	NA	turquoise
Tsubulata_006011	NA	turquoise
