ID	2024 Tjoelii S-morph Mature Bud Average expression	2024 Tjoelii SC mutant (S) Mature Bud Average expression	2024 Tjoelii L-morph Mature Bud Average expression
Tsubulata_000505	4.220156667	8.845931	4.094815667
Tsubulata_000510	61.99849067	79.0570565	42.80433667
Tsubulata_000514	4.312136333	6.7973805	3.636116667
Tsubulata_000516	14.88321067	13.966488	10.84421467
Tsubulata_000518	0.915477333	1.692479	0.553271333
Tsubulata_000524	37.36697	11.8746805	17.23821433
Tsubulata_000528	8.242232	13.925756	7.312858667
Tsubulata_000529	9.895862	11.015893	17.087548
Tsubulata_000534	51.99881333	60.4421195	74.445534
Tsubulata_000538	0	0	0
Tsubulata_000539	11.25595233	21.473709	10.021075
Tsubulata_000540	26.85809967	35.9884225	25.185972
Tsubulata_000542	21.10714333	23.1697255	21.67577567
Tsubulata_000543	4.034017667	6.036461	2.692478
Tsubulata_000544	9.175692	9.157514	2.317096667
Tsubulata_000545	4.039281333	5.4021675	3.450529667
Tsubulata_000546	2.652883	7.8662205	4.780725333
Tsubulata_000547	26.50888533	31.654166	21.86268067
Tsubulata_000552	0.079822333	0.1243315	0.070937333
Tsubulata_000553	139.470871	168.7059705	137.8541463
Tsubulata_000554	23.28870167	22.168916	28.331521
Tsubulata_000556	268.687805	226.1572035	224.9420063
Tsubulata_000557	6.16854	30.351484	8.078485667
Tsubulata_000560	24.76268567	34.135355	19.069364
Tsubulata_000561	14.52540633	27.1886425	25.87765733
Tsubulata_000563	21.469544	41.768877	22.65223467
Tsubulata_000564	167.0186613	124.8421135	228.1133117
Tsubulata_000565	87.616501	83.2985535	77.381284
Tsubulata_000566	13.67237867	27.3108855	14.94453433
Tsubulata_000568	6.600594667	9.3084715	5.804674667
Tsubulata_000569	22.58799	27.1327725	29.11748067
Tsubulata_000570	0	3.191025	10.80386967
Tsubulata_000574	17.30803633	25.29461	16.08312433
Tsubulata_000575	11.37722267	15.5290635	8.326975
Tsubulata_000576	0.202363	0.281301	0
Tsubulata_000582	28.48755633	22.6142655	24.480784
Tsubulata_000584	0	0	0
Tsubulata_000585	0.058374	0	0
Tsubulata_000587	0.692206333	1.882698	0.801528
Tsubulata_000590	15.46928633	17.901472	15.117862
Tsubulata_000591	32.34187067	35.513007	26.48358633
Tsubulata_000592	483.505422	597.0718995	302.6189473
Tsubulata_000593	24.54411133	75.103016	23.627009
Tsubulata_000594	0.509665667	0.4760455	0.066137667
Tsubulata_000595	0	0.0964175	0
Tsubulata_000596	0	0	0
Tsubulata_000599	10.00459133	16.7320155	10.80183333
Tsubulata_000600	0	0	0
Tsubulata_000601	0	0	0
Tsubulata_000603	0	0	0
Tsubulata_000604	0.226252333	0	0.525698
Tsubulata_000605	7.405553333	4.6297385	8.500647333
Tsubulata_000606	0	0	0
Tsubulata_000607	0	0	0
Tsubulata_000608	0	0	0
Tsubulata_000609	19.47499833	20.4718855	17.91028433
Tsubulata_000611	17.28591667	0	20.69907133
Tsubulata_000612	9.902535	17.339818	8.217753667
Tsubulata_000613	21.57659567	14.490063	5.230144667
Tsubulata_000616	0	0	0
Tsubulata_000617	48.79144133	48.904476	43.72537233
Tsubulata_000618	34.732689	45.602854	24.32343667
Tsubulata_000619	1.807018667	1.6328035	2.090098
Tsubulata_000620	37.03698467	34.098648	83.24779267
Tsubulata_000621	0.676604	4.6039805	0.708633667
Tsubulata_000624	0.125491667	2.016212	0
Tsubulata_000625	0	0	0.139390333
Tsubulata_000626	0.135586667	0.9316395	0.216391667
Tsubulata_000627	15.14607667	26.8972285	11.05170233
Tsubulata_000629	66.668803	65.1294515	53.940011
Tsubulata_000631	20.45989867	18.3258415	36.607559
Tsubulata_000632	134.248797	70.806631	139.901296
Tsubulata_000634	0	0	0
Tsubulata_000635	46.904686	54.291191	43.219906
Tsubulata_000639	21.722859	25.9706795	17.36025667
Tsubulata_000640	1.190480333	4.4994135	0.650778
Tsubulata_000641	4.566945667	7.265049	3.737968333
Tsubulata_000642	374.562612	291.715393	612.3083293
Tsubulata_000643	11.798482	13.5242845	12.585706
Tsubulata_000644	26.262341	30.352229	21.91943733
Tsubulata_000645	2.092989667	4.621159	1.176437667
Tsubulata_000646	20.851496	22.2403975	28.604431
