number	feature	id	pval	ScvWtSmorphqval
12071	gene	Tsubulata_020476	0.0559649974770843	0.176192185580275
12072	gene	Tsubulata_020479	NA	NA
12073	gene	Tsubulata_020480	NA	NA
12074	gene	Tsubulata_020481	0.024491088886385	0.125081330868042
12075	gene	Tsubulata_020482	0.0894288734998283	0.227494122093643
12076	gene	Tsubulata_020483	0.235604192284598	0.403183975344224
12077	gene	Tsubulata_020485	0.0758289343968358	0.207714817160973
12078	gene	Tsubulata_020486	0.0445327488630253	0.156416618242676
12079	gene	Tsubulata_020487	0.287109508325567	0.458142868038161
12080	gene	Tsubulata_020490	NA	NA
12081	gene	Tsubulata_020491	0.00181280777524739	0.0589226141620381
12082	gene	Tsubulata_020492	0.00198971249768543	0.0597755910390976
12083	gene	Tsubulata_020494	0.847111830645333	0.909751188178536
12084	gene	Tsubulata_020495	NA	NA
12085	gene	Tsubulata_020496	0.335507313996822	0.507224676449975
12086	gene	Tsubulata_020497	0.0855834380782977	0.222048888030664
12087	gene	Tsubulata_020498	0.571983544036746	0.721897592824842
12088	gene	Tsubulata_020499	0.0086520019191676	0.0864228853001737
12089	gene	Tsubulata_020501	0.129454403592095	0.27617554063716
12090	gene	Tsubulata_020505	NA	NA
12091	gene	Tsubulata_020506	0.507957425585444	0.667169386602015
12092	gene	Tsubulata_020507	NA	NA
12093	gene	Tsubulata_020508	0.79591228223883	0.874344333941011
12094	gene	Tsubulata_020509	NA	NA
12095	gene	Tsubulata_020511	0.187503218213091	0.348066128072796
12096	gene	Tsubulata_020512	0.15982146259886	0.314853086173947
12097	gene	Tsubulata_020513	NA	NA
12098	gene	Tsubulata_020514	0.0165612643130423	0.106460193556157
12099	gene	Tsubulata_020519	0.0158126258982603	0.104696859002406
12100	gene	Tsubulata_020520	0.484386335635845	0.646495899175611
12101	gene	Tsubulata_020521	0.00395267234648744	0.0700256296589264
12102	gene	Tsubulata_020524	0.0146230514692647	0.102266190725918
12103	gene	Tsubulata_020528	0.129454403592095	0.27617554063716
12104	gene	Tsubulata_020529	0.374550200796165	0.546606532636689
12105	gene	Tsubulata_020530	0.0601153544525093	0.183235879072325
12106	gene	Tsubulata_020531	NA	NA
12107	gene	Tsubulata_020532	0.00591789399017328	0.0773865963557915
12108	gene	Tsubulata_020533	0.0269652827271936	0.130315414277029
12109	gene	Tsubulata_020534	0.905358691633783	0.939127697495365
12110	gene	Tsubulata_020535	NA	NA
12111	gene	Tsubulata_020537	0.0305083634779305	0.137349601471591
12112	gene	Tsubulata_020538	0.996469672201278	0.998040339911569
12113	gene	Tsubulata_020543	NA	NA
12114	gene	Tsubulata_020544	NA	NA
12115	gene	Tsubulata_020549	NA	NA
12116	gene	Tsubulata_020550	0.115009686612759	0.263524081882997
