"feature"	"id"	"pval"	"qval"
"222"	"gene"	"gene-Tsubulata_000339"	0.00477014994420122	0.0336003599265299
"223"	"gene"	"gene-Tsubulata_000340"	0.131398377358258	0.282269548930109
"224"	"gene"	"gene-Tsubulata_000341"	0.582800922650452	0.71625269917013
"225"	"gene"	"gene-Tsubulata_000344"	0.408612637175382	0.579538280613267
"226"	"gene"	"gene-Tsubulata_000346"	0.904233101166972	0.949187339832587
"227"	"gene"	"gene-Tsubulata_000347"	0.326114858444627	0.503588641406669
"228"	"gene"	"gene-Tsubulata_000348"	0.497316186872724	0.655830442322437
"229"	"gene"	"gene-Tsubulata_000349"	0.269023408918957	0.446812560397868
"230"	"gene"	"gene-Tsubulata_000350"	NA	NA
"231"	"gene"	"gene-Tsubulata_000351"	0.291351735785461	0.469572284602477
"232"	"gene"	"gene-Tsubulata_000353"	0.880146294156853	0.934247438516672
"233"	"gene"	"gene-Tsubulata_000354"	0.224473605087755	0.395883289060293
"234"	"gene"	"gene-Tsubulata_000355"	0.492491535107455	0.651482991246271
"235"	"gene"	"gene-Tsubulata_000356"	0.312372978691837	0.491340570625426
"236"	"gene"	"gene-Tsubulata_000357"	NA	NA
"237"	"gene"	"gene-Tsubulata_000358"	0.967135696180297	0.979943583118614
"238"	"gene"	"gene-Tsubulata_000359"	0.00112217408437632	0.0158241640185554
"239"	"gene"	"gene-Tsubulata_000360"	0.00253033900691979	0.0240789954339839
"240"	"gene"	"gene-Tsubulata_000361"	0.722929477839855	0.825732460141371
"241"	"gene"	"gene-Tsubulata_000362"	0.0230354730953375	0.0881649019356383
"242"	"gene"	"gene-Tsubulata_000365"	0.397726439427805	0.569725799532936
"243"	"gene"	"gene-Tsubulata_000366"	0.407043505789954	0.578055822746281
"244"	"gene"	"gene-Tsubulata_000367"	0.397988786577726	0.569790133293414
"245"	"gene"	"gene-Tsubulata_000369"	0.0548317057948632	0.1574430735904
"246"	"gene"	"gene-Tsubulata_000370"	0.0267782867899566	0.0972423357465184
"247"	"gene"	"gene-Tsubulata_000371"	0.00516039301651428	0.0352500746817222
"248"	"gene"	"gene-Tsubulata_000372"	0.0189290734589599	0.0776269749596313
"249"	"gene"	"gene-Tsubulata_000373"	0.102963519178626	0.240316991322726
"250"	"gene"	"gene-Tsubulata_000374"	0.0209616753121036	0.0828518389540163
"251"	"gene"	"gene-Tsubulata_000375"	NA	NA
"252"	"gene"	"gene-Tsubulata_000376"	NA	NA
"253"	"gene"	"gene-Tsubulata_000377"	NA	NA
"254"	"gene"	"gene-Tsubulata_000378"	0.365650383719812	0.53856029590933
"255"	"gene"	"gene-Tsubulata_000379"	0.0153859748697658	0.0681927224460401
"256"	"gene"	"gene-Tsubulata_000380"	0.00242092543482597	0.0234529948316505
"257"	"gene"	"gene-Tsubulata_000381"	NA	NA
"258"	"gene"	"gene-Tsubulata_000382"	NA	NA
"259"	"gene"	"gene-Tsubulata_000388"	0.0334733599523187	0.112169999686766
"260"	"gene"	"gene-Tsubulata_000390"	0.02510311908671	0.0932512257934433
"261"	"gene"	"gene-Tsubulata_000391"	NA	NA
"262"	"gene"	"gene-Tsubulata_000392"	0.711914334519076	0.817231504807162
"263"	"gene"	"gene-Tsubulata_000393"	0.0153588262367665	0.0681155983134279
"264"	"gene"	"gene-Tsubulata_000397"	0.315039987705013	0.494361736054912
"265"	"gene"	"gene-Tsubulata_000398"	0.232803066789539	0.405389441994841
"266"	"gene"	"gene-Tsubulata_000400"	0.609294870903425	0.737869428318376
"267"	"gene"	"gene-Tsubulata_000401"	0.89455677319411	0.94333441615902
"268"	"gene"	"gene-Tsubulata_000403"	0.306496297794597	0.485411225123966
"269"	"gene"	"gene-Tsubulata_000404"	0.187694589015027	0.352330709537161
"270"	"gene"	"gene-Tsubulata_000407"	0.0115052766102128	0.0570575991606797
"271"	"gene"	"gene-Tsubulata_000408"	0.0284230271378737	0.100976163517774
"272"	"gene"	"gene-Tsubulata_000410"	0.549196479650342	0.686769258214283
"273"	"gene"	"gene-Tsubulata_000411"	0.825950035550634	0.898371720726548
