nodeName	altName	nodeAttr[nodesPresent, ]
Tsubulata_006061	NA	blue
Tsubulata_006066	NA	blue
Tsubulata_006076	NA	blue
Tsubulata_006081	NA	blue
Tsubulata_006105	NA	blue
Tsubulata_006150	NA	blue
Tsubulata_006161	NA	blue
Tsubulata_006184	NA	blue
Tsubulata_006195	NA	blue
Tsubulata_006229	NA	blue
Tsubulata_006240	NA	blue
Tsubulata_006242	NA	blue
Tsubulata_006292	NA	blue
Tsubulata_006298	NA	blue
Tsubulata_006312	NA	blue
Tsubulata_006314	NA	blue
Tsubulata_006315	NA	blue
Tsubulata_006316	NA	blue
Tsubulata_006319	NA	blue
Tsubulata_006341	NA	blue
Tsubulata_006344	NA	blue
Tsubulata_006371	NA	blue
Tsubulata_006375	NA	blue
Tsubulata_006418	NA	blue
Tsubulata_006462	NA	blue
Tsubulata_006485	NA	blue
Tsubulata_006495	NA	blue
Tsubulata_006510	NA	blue
Tsubulata_006518	NA	blue
Tsubulata_006554	NA	blue
Tsubulata_006565	NA	blue
Tsubulata_006568	NA	blue
Tsubulata_006625	NA	blue
Tsubulata_006627	NA	blue
Tsubulata_006648	NA	blue
Tsubulata_006710	NA	blue
Tsubulata_006721	NA	blue
Tsubulata_006790	NA	blue
Tsubulata_006797	NA	blue
Tsubulata_006804	NA	blue
Tsubulata_006809	NA	blue
Tsubulata_006810	NA	blue
Tsubulata_006822	NA	blue
Tsubulata_006823	NA	blue
Tsubulata_006825	NA	blue
Tsubulata_006826	NA	blue
Tsubulata_006833	NA	blue
Tsubulata_006834	NA	blue
Tsubulata_006885	NA	blue
Tsubulata_006901	NA	blue
Tsubulata_006908	NA	blue
Tsubulata_006912	NA	blue
Tsubulata_006931	NA	blue
Tsubulata_006988	NA	blue
Tsubulata_006994	NA	blue
Tsubulata_007018	NA	blue
Tsubulata_007031	NA	blue
Tsubulata_007049	NA	blue
Tsubulata_007051	NA	blue
Tsubulata_007052	NA	blue
Tsubulata_007094	NA	blue
Tsubulata_007099	NA	blue
Tsubulata_007108	NA	blue
Tsubulata_007114	NA	blue
Tsubulata_007147	NA	blue
Tsubulata_007148	NA	blue
Tsubulata_007158	NA	blue
Tsubulata_007179	NA	blue
Tsubulata_007198	NA	blue
Tsubulata_007252	NA	blue
Tsubulata_007254	NA	blue
Tsubulata_007255	NA	blue
Tsubulata_007258	NA	blue
Tsubulata_007273	NA	blue
Tsubulata_007282	NA	blue
Tsubulata_007285	NA	blue
Tsubulata_007299	NA	blue
Tsubulata_007314	NA	blue
Tsubulata_007320	NA	blue
Tsubulata_007331	NA	blue
Tsubulata_007342	NA	blue
Tsubulata_007377	NA	blue
Tsubulata_007378	NA	blue
Tsubulata_007397	NA	blue
Tsubulata_007425	NA	blue
Tsubulata_007436	NA	blue
Tsubulata_007447	NA	blue
Tsubulata_007450	NA	blue
Tsubulata_007460	NA	blue
Tsubulata_007476	NA	blue
Tsubulata_007492	NA	blue
Tsubulata_007497	NA	blue
Tsubulata_007508	NA	blue
Tsubulata_007514	NA	blue
Tsubulata_007524	NA	blue
Tsubulata_007534	NA	blue
Tsubulata_007550	NA	blue
Tsubulata_007555	NA	blue
Tsubulata_007560	NA	blue
Tsubulata_007588	NA	blue
Tsubulata_007590	NA	blue
Tsubulata_007592	NA	blue
Tsubulata_007594	NA	blue
Tsubulata_007602	NA	blue
Tsubulata_007603	NA	blue
Tsubulata_007622	NA	blue
Tsubulata_007627	NA	blue
Tsubulata_007629	NA	blue
Tsubulata_007652	NA	blue
Tsubulata_007659	NA	blue
Tsubulata_007664	NA	blue
Tsubulata_007668	NA	blue
Tsubulata_007673	NA	blue
Tsubulata_007691	NA	blue
Tsubulata_007733	NA	blue
Tsubulata_007765	NA	blue
Tsubulata_007778	NA	blue
Tsubulata_007805	NA	blue
Tsubulata_007833	NA	blue
Tsubulata_007834	NA	blue
Tsubulata_007861	NA	blue
Tsubulata_007864	NA	blue
Tsubulata_007868	NA	blue
Tsubulata_007885	NA	blue
Tsubulata_007891	NA	blue
Tsubulata_007911	NA	blue
Tsubulata_007918	NA	blue
Tsubulata_007923	NA	blue
Tsubulata_007946	NA	blue
Tsubulata_007958	NA	blue
Tsubulata_007974	NA	blue
Tsubulata_008091	NA	blue
Tsubulata_008100	NA	blue
Tsubulata_008106	NA	blue
Tsubulata_008165	NA	blue
Tsubulata_008198	NA	blue
Tsubulata_008220	NA	blue
Tsubulata_008223	NA	blue
Tsubulata_008234	NA	blue
Tsubulata_008241	NA	blue
Tsubulata_008248	NA	blue
Tsubulata_008261	NA	blue
Tsubulata_008264	NA	blue
Tsubulata_008279	NA	blue
Tsubulata_008293	NA	blue
Tsubulata_008314	NA	blue
Tsubulata_008326	NA	blue
Tsubulata_008327	NA	blue
Tsubulata_008349	NA	blue
Tsubulata_008350	NA	blue
Tsubulata_008399	NA	blue
Tsubulata_008402	NA	blue
Tsubulata_008424	NA	blue
Tsubulata_008429	NA	blue
Tsubulata_008469	NA	blue
Tsubulata_008506	NA	blue
Tsubulata_008507	NA	blue
Tsubulata_008520	NA	blue
Tsubulata_008524	NA	blue
Tsubulata_008525	NA	blue
Tsubulata_008526	NA	blue
Tsubulata_008527	NA	blue
Tsubulata_008532	NA	blue
Tsubulata_008533	NA	blue
Tsubulata_008544	NA	blue
Tsubulata_008545	NA	blue
Tsubulata_008547	NA	blue
Tsubulata_008564	NA	blue
Tsubulata_008626	NA	blue
Tsubulata_008630	NA	blue
Tsubulata_008653	NA	blue
Tsubulata_008670	NA	blue
Tsubulata_008680	NA	blue
Tsubulata_008688	NA	blue
Tsubulata_008699	NA	blue
Tsubulata_008734	NA	blue
Tsubulata_008746	NA	blue
Tsubulata_008747	NA	blue
Tsubulata_008768	NA	blue
Tsubulata_008784	NA	blue
Tsubulata_008786	NA	blue
Tsubulata_008787	NA	blue
Tsubulata_008828	NA	blue
Tsubulata_008835	NA	blue
Tsubulata_008861	NA	blue
Tsubulata_008889	NA	blue
Tsubulata_008907	NA	blue
Tsubulata_008913	NA	blue
Tsubulata_008929	NA	blue
Tsubulata_008963	NA	blue
Tsubulata_008984	NA	blue
Tsubulata_008994	NA	blue
Tsubulata_008995	NA	blue
Tsubulata_008997	NA	blue
Tsubulata_008998	NA	blue
Tsubulata_009021	NA	blue
Tsubulata_009023	NA	blue
Tsubulata_009056	NA	blue
Tsubulata_009067	NA	blue
Tsubulata_009078	NA	blue
Tsubulata_009118	NA	blue
Tsubulata_009119	NA	blue
Tsubulata_009137	NA	blue
Tsubulata_009178	NA	blue
Tsubulata_009203	NA	blue
Tsubulata_009208	NA	blue
Tsubulata_009209	NA	blue
Tsubulata_009264	NA	blue
Tsubulata_009267	NA	blue
Tsubulata_009299	NA	blue
Tsubulata_009309	NA	blue
Tsubulata_009335	NA	blue
Tsubulata_009336	NA	blue
Tsubulata_009351	NA	blue
Tsubulata_009356	NA	blue
Tsubulata_009365	NA	blue
Tsubulata_009366	NA	blue
Tsubulata_009437	NA	blue
Tsubulata_009441	NA	blue
Tsubulata_009442	NA	blue
Tsubulata_009444	NA	blue
Tsubulata_009452	NA	blue
Tsubulata_009457	NA	blue
Tsubulata_009502	NA	blue
Tsubulata_009503	NA	blue
Tsubulata_009513	NA	blue
Tsubulata_009521	NA	blue
Tsubulata_009522	NA	blue
Tsubulata_009534	NA	blue
Tsubulata_009544	NA	blue
Tsubulata_009593	NA	blue
Tsubulata_009611	NA	blue
Tsubulata_009613	NA	blue
Tsubulata_009638	NA	blue
Tsubulata_009641	NA	blue
Tsubulata_009655	NA	blue
Tsubulata_009683	NA	blue
Tsubulata_009693	NA	blue
Tsubulata_009697	NA	blue
Tsubulata_009703	NA	blue
Tsubulata_009715	NA	blue
Tsubulata_009737	NA	blue
Tsubulata_009745	NA	blue
Tsubulata_009750	NA	blue
Tsubulata_009752	NA	blue
Tsubulata_009771	NA	blue
Tsubulata_009777	NA	blue
Tsubulata_009781	NA	blue
Tsubulata_009788	NA	blue
Tsubulata_009797	NA	blue
Tsubulata_009814	NA	blue
Tsubulata_009818	NA	blue
Tsubulata_009863	NA	blue
Tsubulata_009942	NA	blue
Tsubulata_009945	NA	blue
Tsubulata_009947	NA	blue
Tsubulata_009948	NA	blue
Tsubulata_010033	NA	blue
Tsubulata_010041	NA	blue
Tsubulata_010058	NA	blue
Tsubulata_010164	NA	blue
Tsubulata_010195	NA	blue
Tsubulata_010202	NA	blue
Tsubulata_010211	NA	blue
Tsubulata_010225	NA	blue
Tsubulata_010309	NA	blue
Tsubulata_010315	NA	blue
Tsubulata_010322	NA	blue
Tsubulata_010342	NA	blue
Tsubulata_010347	NA	blue
Tsubulata_010362	NA	blue
Tsubulata_010370	NA	blue
Tsubulata_010376	NA	blue
Tsubulata_010392	NA	blue
Tsubulata_010397	NA	blue
Tsubulata_010398	NA	blue
Tsubulata_010402	NA	blue
Tsubulata_010473	NA	blue
Tsubulata_010489	NA	blue
Tsubulata_010490	NA	blue
Tsubulata_010504	NA	blue
Tsubulata_010506	NA	blue
Tsubulata_010507	NA	blue
Tsubulata_010509	NA	blue
Tsubulata_010533	NA	blue
Tsubulata_010540	NA	blue
Tsubulata_010545	NA	blue
Tsubulata_010547	NA	blue
Tsubulata_010550	NA	blue
Tsubulata_010556	NA	blue
Tsubulata_010631	NA	blue
Tsubulata_010648	NA	blue
Tsubulata_010658	NA	blue
Tsubulata_010721	NA	blue
Tsubulata_010769	NA	blue
Tsubulata_010780	NA	blue
Tsubulata_010798	NA	blue
Tsubulata_010799	NA	blue
Tsubulata_010821	NA	blue
Tsubulata_010834	NA	blue
Tsubulata_010845	NA	blue
Tsubulata_010890	NA	blue
Tsubulata_010893	NA	blue
Tsubulata_010894	NA	blue
Tsubulata_010901	NA	blue
Tsubulata_010916	NA	blue
Tsubulata_010927	NA	blue
Tsubulata_010929	NA	blue
Tsubulata_010935	NA	blue
Tsubulata_010959	NA	blue
Tsubulata_011012	NA	blue
Tsubulata_011016	NA	blue
Tsubulata_011022	NA	blue
Tsubulata_011029	NA	blue
Tsubulata_011032	NA	blue
Tsubulata_011101	NA	blue
Tsubulata_011110	NA	blue
Tsubulata_011122	NA	blue
Tsubulata_011133	NA	blue
Tsubulata_011136	NA	blue
Tsubulata_011156	NA	blue
Tsubulata_011161	NA	blue
Tsubulata_011167	NA	blue
Tsubulata_011181	NA	blue
Tsubulata_011197	NA	blue
Tsubulata_011206	NA	blue
Tsubulata_011262	NA	blue
Tsubulata_011319	NA	blue
Tsubulata_011322	NA	blue
Tsubulata_011324	NA	blue
Tsubulata_011349	NA	blue
Tsubulata_011351	NA	blue
Tsubulata_011376	NA	blue
Tsubulata_011387	NA	blue
Tsubulata_011434	NA	blue
Tsubulata_011504	NA	blue
Tsubulata_011524	NA	blue
Tsubulata_011537	NA	blue
Tsubulata_011539	NA	blue
Tsubulata_011541	NA	blue
